solver,penalty,accuracy,f1,auroc,auprc,sum
lbfgs,l2,0.8333333333333334,0.8208092485549133,0.8967441860465116,0.844287346357273,3.3951741142920313
liblinear,l1,0.8333333333333334,0.8208092485549133,0.8983720930232558,0.845081463634418,3.3975961385459206
liblinear,l2,0.8333333333333334,0.8208092485549133,0.8966279069767442,0.8442232807540953,3.394993769619086
newton-cg,l2,0.8333333333333334,0.8208092485549133,0.8967441860465116,0.844287346357273,3.3951741142920313
newton-cholesky,l2,0.8333333333333334,0.8208092485549133,0.8967441860465116,0.844287346357273,3.3951741142920313
sag,l2,0.8333333333333334,0.8208092485549133,0.8967441860465116,0.844287346357273,3.3951741142920313
saga,l1,0.8333333333333334,0.8208092485549133,0.8988372093023257,0.8454368714222935,3.398416662612866
saga,l2,0.8333333333333334,0.8208092485549133,0.8967441860465116,0.844287346357273,3.3951741142920313
